일자,,,언론사,기고자,제목
20170428,유시민,19대대선,경인일보,이상은 인턴기자,"'썰전' 유시민 ""안철수 '갑철수' 언급은 실수 본인이 네거티브 프레임을 씌우냐"""
20170428,유시민,19대대선,아시아경제,조아영,"‘썰전’ 유시민 “대선후보, 지지율 낮을수록 시원시원하게 말해”"
20170428,유시민,19대대선,헤럴드경제,한영훈 기자,유시민 “안철수 부인 의혹 진원지는 서울대 교수진 아직 해명 부족한 듯”
20170428,유시민,19대대선,헤럴드경제,한영훈 기자,유시민 “갑철수 발언 패착 토론전략 짠 참모 경질해야”
20170428,유시민,19대대선,중도일보,조훈희 기자,"[썰전]유시민, 심상정의 문재인 공격 입 연다 전원책 “심-유승민 토론을 잘한 게 아니라”"
20170427,유시민,19대대선,경인일보,이상은 인턴기자,'썰전' 70분간 대선특집 유시민-전원책 대선 판도 두고 '격론'
20170425,유시민,19대대선,중도일보,김은주 기자,"‘정의당 입’ 노회찬, ‘엘비스 프레슬리’ 복장에 심상정 ‘백설공주’, 유시민 ‘두껑머리’... 무슨 일?"
20170424,유시민,19대대선,국민일보,권지혜 기자,유시민 “TK 민심 흔들” 심상정 “대세 편승한 표가 死票”
20170421,유시민,19대대선,중도일보,연선우 기자,"썰전 유시민, 송민순 회고록 과거 발언 주목 ""북한인권결의안은 말이죠 """
20170421,유시민,19대대선,중도일보,연선우 기자,[썰전] 유시민 “안철수 지지율 주춤 이유는 ‘정당과 검증’” 전원책 “토론회 때문이야~”
20170421,유시민,19대대선,중도일보,중도일보,"[썰전]유시민이 아쉬워한(?) 허경영, 대선 후보서 빠진 이유는?"
20170421,유시민,19대대선,중도일보,중도일보,[jtbc 썰전] 유시민 “안철수 포스터 슬로건 '국민이 이긴다'는 문재인을 이기겠다는 메시지”
20170421,유시민,19대대선,중도일보,연선우 기자,[썰전] 대선후보 TV토론회 분석 유시민 '안철수 상승세 멈칫한 이유는?'
20170421,유시민,19대대선,중도일보,원영미 기자,"[썰전] 유시민, 문재인 말실수에 “나 좋아하나봐”"
20170421,유시민,19대대선,울산매일,노컷뉴스,유시민이 분석한 '文 安 지지율 역전 안되는 두 가지 이유'
20170421,유시민,19대대선,중앙일보,이민정,"유시민, ""안철수 역전 어려운 2가지 이유"""
20170421,유시민,19대대선,헤럴드경제,이명수 기자,유시민 “검찰 수뇌부 모두 우병우 사단” 직격탄
20170421,유시민,19대대선,머니투데이,남궁민,"'썰전' 유시민 ""안철수 지지율 정체, 당의 한계와 검증 때문"""
20170421,유시민,19대대선,한국경제,,"'썰전' 유시민 ""지금 미세먼지 '무정부 상태'..진단부터 제대로 해야"""
20170421,유시민,19대대선,서울경제,장주영 기자,"‘썰전’ 유시민, “핵보다 미세먼지가 더 무섭다. 피해 막는 방법 알아야”"
20170421,유시민,19대대선,경인일보,강효선,"썰전 유시민 ""범정부적 기관 만들어 미세먼지 조사 연구해 원인 밝혀야"""
20170421,유시민,19대대선,파이낸셜뉴스,파이낸셜뉴스,유시민이 말하는 '안철수 역전'이 힘든 이유 2가지
20170421,유시민,19대대선,국민일보,천금주 기자,‘안철수가 문재인을 역전할 수 없는 2가지 이유’ 유시민의 분석
20170421,유시민,19대대선,서울신문,이혜리,"‘썰전’ 유시민 “안철수, 문재인 역전할 수 없는 이유는 ”"
20170421,유시민,19대대선,매일경제,진주희,"""썰전` 유시민, 미세먼지 빗대어 정부 소극적인 대처 일침 ""핵보다 더 무서워"""
20170421,유시민,19대대선,아시아경제,최누리,"유시민 “우병우 봐주기, 검찰 수뇌부 보호하기 위한 전략적 판단”"
20170421,유시민,19대대선,한국경제,,"'썰전' 시청률 6%대 회복..전원책-유시민, 대선후보 포스터-공약 평가"
20170421,유시민,19대대선,부산일보,멀티미디어부,"'썰전' 유시민 ""안철수 지지율 멈칫, 반칙하지 않고 성공한 사람 이미지 사라져서"""
20170421,유시민,19대대선,아시아경제,김윤주,"‘썰전’ 유시민 “문재인, 나 좋아하나 봐” 말실수 언급"
20170421,유시민,19대대선,부산일보,멀티미디어부,"'썰전' 유시민 ""조원진 곰돌이 포스터 눈에 띄네"""
20170421,유시민,19대대선,헤럴드경제,송형근 기자,"유시민 “안철수, 문재인 역전 힘들어 정책 세일즈도 차이 커”"
20170421,유시민,19대대선,국제신문,이영실,"'썰전' 유시민, 문재인 말 실수에 ""날 좋아하나 봐 마음속에 내가 있나봐"""
20170421,유시민,19대대선,국제신문,권진국,투표 인증하면 500만 원...유시민 제안 '국민투표로또' 선거법 위반?
20170421,유시민,19대대선,아시아경제,최지혜,"'썰전' 유시민 ""문재인 마음속에 내가 있나보다"" TV토론 말실수에 넉살"
20170421,유시민,19대대선,경인일보,이상은 인턴기자,"'썰전' 유시민 ""안철수 지지율 답보? 정책 세일즈 차이 '문재인 1번가' 접근성 높아"""
20170421,유시민,19대대선,중도일보,조훈희 기자,유시민 대선투표율 올릴까 jtbc 썰전에서 낸 '국민투표로또' 대박 예감
20170420,유시민,19대대선,서울경제,전종선 기자,"‘썰전’ 유시민 “조원진 후보 곰돌이 포스터, 가장 마음에 들어”"
20170420,유시민,19대대선,부산일보,미디어본부16,"'썰전' 유시민, 안철수 '국민은 이긴다' 속 뜻은? ""문재인 이기는 것은 국민이 이기는 것"""
20170420,유시민,19대대선,전자신문,이희진 기자,"썰전 유시민 “TV토론 잘했다고 지지율 오르지 않아, 말 잘한다고 표 오는 것 아냐”"
20170420,유시민,19대대선,매일경제,매일경제 스타투데이 이슈팀,"`썰전` 유시민, 문재인 후보 말실수 언급? ""마음 속에 내가 있나봐"""
20170420,유시민,19대대선,중부일보,홍지예,"'썰전' 유시민, 허경영 언급 ""내 눈을 바라봐 넌 건강해지고"""
20170420,유시민,19대대선,부산일보,미디어본부15,"유시민, 정의당 심상정 JTBC 썰전 출연 때 ""예쁜데 입이 좀 험했어"" 과거 디스"
20170420,유시민,19대대선,서울경제,김경민 기자,"'썰전' 유시민, 문재인 말실수 언급 ""나 좋아하나 봐"""
20170420,유시민,19대대선,서울신문,장은석,"썰전 유시민, 문재인 말실수에 “나를 좋아하나 봐”"
20170420,유시민,19대대선,부산일보,미디어본부12,"유시민 제안 '국민투표로또', 실제로 등장 ""최대 500만 원 수령 가능"""
20170420,유시민,19대대선,서울경제,박재영 기자,"‘썰전’ 유시민, 문재인 말실수에 “나를 좋아하나 봐 마음속에 내가 있어.” 폭소 자아내"
20170420,유시민,19대대선,경인일보,디지털뉴스부,'썰전' 유시민 발언 현실화 '국민투표로또' 1등 최대 500만원
20170420,유시민,19대대선,한국경제,,"썰전 유시민, 문재인 후보 말실수 언급 ""나를 좋아하나봐"" 재치있는 답변"
20170420,유시민,19대대선,머니투데이,남궁민,"""투표하면 최대 500만원"" 유시민 제안 '투표 로또' 현실로"
20170420,유시민,19대대선,머니투데이,심하늬,"유시민, TV토론 문재인 말실수에 ""나를 좋아하나 봐~"""
20170420,유시민,19대대선,서울경제,김상민 기자,유시민 '투표 로또' ...1등 당첨 액수는?
20170420,유시민,19대대선,서울경제,장주영 기자,"‘썰전’ 유시민 생각이 현실화 “투표로또, 투표율 높인다”"
20170420,유시민,19대대선,한라일보,김성훈 기자 hl@ihalla.com,"넉살 좋은 유시민, 오늘밤 ‘썰전’ 시청률 반등시킬까"
20170420,유시민,19대대선,전자신문,박민희 기자,"썰전 유시민 ""투표율 높이는 방법? 바로 투표OO"""
20170420,유시민,19대대선,서울경제,양지연 기자,"'썰전' 유시민 ""유승민을 나로? 문재인 마음속에 내가 있나봐"""
20170420,유시민,19대대선,헤럴드경제,송형근 기자,유시민 “문재인 말실수 날 좋아하나 봐”
20170420,유시민,19대대선,아시아경제,윤재길,"유시민, 썰전에서 말한 '국민투표로또' 현실화 당첨금 최대 500만 원"
20170417,유시민,19대대선,YTN,,"유시민 작가, 최대어 붕어 낚고 낚시잡지 표지모델...""나에게 낚시는 여백"""
20170415,유시민,19대대선,중앙일보,배재성,"유시민, 낚시전문지 표지모델 깜짝 등장"
20170414,유시민,19대대선,머니투데이,남궁민,"'썰전' 유시민 ""안철수, 흡입력 강한 인물 아냐"""
20170414,유시민,19대대선,울산매일,노컷뉴스,"'썰전' 유시민 ""북핵, 공포 시나리오 그만둬야"""
20170414,유시민,19대대선,한국경제,이미나,긴장한 대선주자 문재인 TV토론회서 유승민→유시민 이재용→이재명 호명 실수
20170414,유시민,19대대선,헤럴드경제,윤혜정 기자,"이재용→이재명, 유승민→유시민 文 실언 ‘아차차’"
20170414,유시민,19대대선,매일경제,진주희,"`썰전`유시민, 왜 안철수 대선 후보에게만 유독 쓴소리 내뱉었나?"
20170414,유시민,19대대선,아시아경제,윤재길,‘썰전’ “안보를 정치에 이용” vs “북 대화로 안돼” 유시민 전원책 ‘4월 위기설 격돌’
20170414,유시민,19대대선,아시아경제,최누리,‘썰전’ 유시민 “안철수 흡입력 약해” 전원책 “패권주의 프레임 먹혀”
20170414,유시민,19대대선,부산일보,미디어본부13,"'썰전' 유시민 ""현재의 '안풍', '문재인 싫어'가 만든 현상"""
20170413,유시민,19대대선,한국일보,박진만,문재인 “우리 유시민 후보 이재명 부회장 ”
20170413,유시민,19대대선,매일경제,길나영,"문재인, 토론회서 `유승민 유시민 이재명 이재용 부회장` 잇단 호명 실수"
20170413,유시민,19대대선,세계일보,박태훈,"文, 이재용을 '이재명' 유승민을 '유시민'으로 잘못 말해"
20170413,유시민,19대대선,서울신문,이기철,"[대선후보 토론회] 문재인 “우리 유시민 후보, 이재명 부회장” 호칭 잘못"
20170413,유시민,19대대선,중앙일보,백민경,"10분안에 문재인 제압한다던 홍준표, 토론서 '이재명' '유시민' 부른 문재인"
20170413,유시민,19대대선,중앙일보,김은빈,"문, 유승민 보고 '유시민' 대선토론회서 호명 실수"
20170413,유시민,19대대선,헤럴드경제,김수한 기자,“우병우 기각” 1주일전 유시민의 예언적중 이유는?
20170412,유시민,19대대선,중앙일보,정은혜,유시민이 예언한 우병우 구속영장 기각 이유
20170412,유시민,19대대선,중도일보,연선우 기자,"우병우 영장 기각, 유시민의 진단은 정확했다?"
20170407,유시민,19대대선,아시아경제,최누리,"‘썰전’ 유시민, 안철수 ‘대통령 사면’ 발언 비판 세력에 “의도적 오독”"
20170407,유시민,19대대선,중부일보,홍지예,"'썰전' 유시민 ""박근혜 전 대통령, 그동안 받은 봉급 다 모으면 """
20170407,유시민,19대대선,중앙일보,김은빈,"유시민 ""네거티브도 품격있게"""
20170407,유시민,19대대선,머니투데이,남궁민,"'썰전' 유시민 ""안철수 중저음 목소리, 효과 있다"""
20170407,유시민,19대대선,울산매일,노컷뉴스,"'썰전' 유시민 ""안철수 목소리 굵게 변한 이유는 """
20170407,유시민,19대대선,한라일보,심수민 기자,"'썰전' 유시민, ""자해하는 꼴이자 사리분별없는 것 입증"" 이번엔 뭐라고?"
20170407,유시민,19대대선,경인일보,강효선,"썰전 유시민, 안철수 목소리 변화 언급에 성대모사 '폭소' ""저음 굵은 목소리 사람들에 신뢰"""
20170407,유시민,19대대선,서울경제,박재영 기자,"‘썰전’ 유시민, 안철수 성대모사 “누구입니끄아아앜” 스튜디오 폭소 “신뢰 효과 있을 것”"
20170407,유시민,19대대선,서울신문,한세원,"‘썰전’ 유시민, “누구입니끄아아” 안철수 성대모사 하더니&#57747;"
20170407,유시민,19대대선,서울경제,김경민 기자,"‘썰전’ 유시민, “안철수 결정적 장애 요소는 ” 대선 레이스 전망"
20170407,유시민,19대대선,전자신문,박민희 기자,"'썰전' 유시민""안철수 바뀐 목소리 경제력 있어...대통령 된다면..."""
20170407,유시민,19대대선,아시아경제,이은혜,"‘썰전’ 유시민 전원책, 홍준표 막말 비판 “말 그렇게 하면 안 돼, 될 일도 안 된다”"
20170407,유시민,19대대선,매일경제,진주희,"유시민, 안철수 목소리 분석 ""저음의 굵은 톤, 신뢰감 줄 수 있다"""
20170407,유시민,19대대선,헤럴드경제,윤혜정 기자,"‘썰전’ 유시민 “안철수 중저음톤, 지지율 효과 있을 것”"
20170407,유시민,19대대선,부산일보,미디어본부11,"'썰전' 유시민, 안철수 목소리 성대모사에 스튜디오 초토화"
20170407,유시민,19대대선,한국경제,,"'썰전' 유시민, 안철수 목소리 변화 언급 ""효과 있다"""
20170407,유시민,19대대선,경인일보,이상은 인턴기자,"'썰전' 유시민 ""박 전 대통령 변호인단, 3전 전패 교체해야"""
20170407,유시민,19대대선,헤럴드경제,민성기 기자,"'썰전' 유시민 “홍준표, 말 그렇게 하면 될 일도 안돼”"
20170407,유시민,19대대선,서울신문,이슬기,"‘썰전’ 유시민-전원책 “홍준표, 이대로 가면 초상집 상주 된다”"
20170407,유시민,19대대선,경향신문,곽희양 기자 huiyang@kyunghyang.com,[기타뉴스][오래전‘이날’] 4월7일 유시민 장관 사의
20170406,유시민,19대대선,서울신문,이슬기,"‘썰전’ 유시민 “안철수 목소리 변화, 효과 있다” 전원책 반응이?"
20170406,유시민,19대대선,경인일보,디지털뉴스부,"'썰전' 유시민 ""안철수 목소리 변화, 효과 있어"" 전원책 ""전술 차원"""
20170406,유시민,19대대선,서울경제,양지연 기자,"'썰전' 유시민 ""안철수 목소리, 신뢰 주기 위해 변화"""
20170331,유시민,19대대선,중앙일보,민경원.전민규,‘썰전’ 대본엔 질문만  발언은 5:4:1 <전원책 유시민 김구라>
20170331,유시민,19대대선,머니투데이,신현우,"유시민 ""박근혜, 구속될 것"" 예상 적중"
20170331,유시민,19대대선,아시아경제,조아영,‘썰전’ 유시민 “세월호 음모론은 정부 행태를 이해해보려 한 것”
20170331,유시민,19대대선,한국경제,,"'썰전' 유시민, ""세월호 인양에 혈세 든다"" 비판에 한줄평 일침"
20170331,유시민,19대대선,한국경제,,"‘썰전’ 유시민, 박근혜 구속 예측 “피할 수 없을 것..무기징역도 가능”"
20170331,유시민,19대대선,매일경제,진주희,"""조윤선 전 장관 보고 놀고 먹는다고 오해할 듯"" `썰전` 유시민 일침"
20170331,유시민,19대대선,헤럴드경제,한영훈 기자,유시민 “세월호 혈세 1000억 낭비? 그러라고 세금 내는 거다”
20170331,유시민,19대대선,중도일보,연선우 기자,"[썰전] 유시민-전원책, 박근혜 구속 이후 전망 정유라 소환부터 세월호까지"
20170330,유시민,19대대선,중앙일보,김민상,JTBC ‘썰전’ 유시민 vs 전원책 청와대 압수수색 놓고 충돌
20170328,유시민,19대대선,전남일보,김기중,보해양조 주주총회 유시민 사외이사 선임
20170327,유시민,19대대선,헤럴드경제,김수한 기자,"‘차이나는 클래스’ 유시민의 최악, 최고 국가는"
20170327,유시민,19대대선,한국경제,,"‘차이나는 클라스’ 유시민 안보와 질서, 치안 유지가 확실한 국가가 "
20170327,유시민,19대대선,무등일보,강동준기자  zmd@chol.com,"보해양조, 유시민 사외이사 선임"
20170326,유시민,19대대선,매일경제,진주희,"`차이나는 클라스` 유시민, 훌륭한 국가로 지목한 나라는 어디?"
20170326,유시민,19대대선,광주매일신문,최권범,"보해양조, 유시민 전 장관 사외이사 선임"
20170325,유시민,19대대선,중앙일보,노진호,"[오늘의 JTBC] 유시민이 ""국가는 존재하지 않는다""고 한 이유는?"
20170324,유시민,19대대선,울산매일,노컷뉴스,"썰전 유시민 ""내가 검사면 박근혜 구속 법원에 넘겨"""
20170324,유시민,19대대선,서울경제,한해선 기자,'차이나는 클라스' 유시민이 제시한 앞으로의 한국은?
20170324,유시민,19대대선,머니투데이,백지수,"보해양조, 유시민 전 장관 사외이사로 신규 선임"
20170324,유시민,19대대선,아시아경제,임혜선,"보해양조, 유시민 전 장관 사외이사 신규선임"
20170324,유시민,19대대선,중앙일보,최선욱,유시민 “개헌은 이무기들이 대통령 해먹을 수 있는 기회”
20170324,유시민,19대대선,중앙일보,한영혜,유시민 “朴 영상녹화 안해도 되는데 왜 논란?”
20170324,유시민,19대대선,울산매일,노컷뉴스,유시민이 해석한 노무현과 박근혜 메시지의 차이
20170324,유시민,19대대선,한겨레,이재훈,"유시민, 문재인 ‘전두환 표창’ 논란에 “수준 이하 난독”"
20170324,유시민,19대대선,서울신문,이혜리,"‘썰전’ 유시민 “안희정, 문재인 표창 비난은 수준 이하”"
20170324,유시민,19대대선,헤럴드경제,김영은 기자,‘썰전’ 朴 구속 유시민 “한다” VS 전원책 “안 한다”
20170324,유시민,19대대선,한국경제,,‘썰전’ 전원책-유시민 추가녹화..시청률 7％대 하락에도 동시간대 1위
20170324,유시민,19대대선,아시아경제,한승곤,"'썰전' 유시민, 안희정 작심 비판 “이런 난독증들이 정치를 해도 되나”"
20170324,유시민,19대대선,매일경제,진주희,"`썰전` 유시민, 박 전 대통령 검찰 출두 발언 일침 ""책임의식 말고 피의자 권리만 주장"""
20170324,유시민,19대대선,아시아경제,김윤주,"‘썰전’ 유시민, 박근혜 전 대통령 ‘29자 메시지’ 분석"
20170324,유시민,19대대선,헤럴드경제,송형근 기자,유시민 “안희정 캠프 난독증에 빠져 정치 해도 되나?”
20170324,유시민,19대대선,부산일보,미디어본부16,"'썰전' 박근혜 전 대통령 구속영장 청구 전원책 ""안한다"" vs 유시민 ""한다"""
20170324,유시민,19대대선,경인일보,이상은 인턴기자,"'썰전' 유시민 ""박근혜 메시지, 피의자로서 검찰과 싸우겠다는 뜻"""
20170324,유시민,19대대선,서울경제,전종선 기자,"‘썰전’ 추가 녹화, 유시민 “朴 전 대통령 두 문장, 깊이 보면 메시지 있어”"
20170324,유시민,19대대선,부산일보,미디어본부13,"'썰전' 유시민 ""박근혜 전 대통령 발언, 검찰과 다투겠다는 의사표시"""
20170324,유시민,19대대선,국제신문,,"'썰전' 박근혜 前 대통령 검찰 출두로 추가 녹화..유시민 ""두 문장 메시지 있다"""
20170324,유시민,19대대선,전자신문,이희진 기자,"'썰전' 유시민 ""안희정, 문재인 전두환 표창 비난은 수준 이하...의도적 오독의 결과"""
20170323,유시민,19대대선,중부일보,홍지예,"'썰전' 유시민 ""박근혜 전 대통령 검찰 출두 당시 '포토라인 섰다'라는 말 수정돼야"""
20170323,유시민,19대대선,부산일보,멀티미디어부,"'썰전' 이번주도 추가녹화 유시민 ""포토라인 29자에 숨겨진 메시지는 """
20170323,유시민,19대대선,헤럴드경제,송형근 기자,유시민 “朴 억울함과 분노에 사로잡혀있다”
20170320,유시민,19대대선,중앙일보,홍수민,"유시민, 광장에 촛불 태극기 나란히 ""민주주의 살아있다는 증거"""
20170320,유시민,19대대선,매일신문,뉴미디어부01 limstar@msnet.co.kr,"'차이나는 클라스' 유시민, ""대통령이 된다면"" 주옥 같은 답변 화제 ""수단이 아닌 목적"""
20170319,유시민,19대대선,부산일보,미디어본부11,"'차이나는 클라스' 유시민, 촛불이냐 태극기냐 ""둘 다 시민의 권리 행사다"""
20170319,유시민,19대대선,서울경제,전종선 기자,‘차이나는 클라스’ 유시민 “가상 대선 공약? 노력한 만큼 대접받는 나라”
20170318,유시민,19대대선,중앙일보,노진호,"[오늘의 JTBC] 유시민이 묻는다, ""국가란 무엇입니까"""
20170317,유시민,19대대선,중도일보,연선우 기자,썰전 유시민 “박근혜 ‘탄핵 불복’했다면 삼성동 바로가서 냉골이라도 라면 먹으며 투쟁해야”
20170317,유시민,19대대선,서울경제,김상민 기자,"‘썰전’ 유시민, “박근혜 전 대통령, 투쟁하기로 작심한 것 같다”"
20170317,유시민,19대대선,중부일보,홍지예,"'썰전' 유시민 ""박근혜 전 대통령 탄핵 심판 헌재 결정문 문장 매우 훌륭 논리 흐름 좋다"""
20170317,유시민,19대대선,중앙일보,홍수민,"유시민 ""이정미 재판관 '그러나' 발언 때마다 코스피 요동"""
20170317,유시민,19대대선,중앙일보,이가영,"박 전 대통령 미소 눈물의 의미? 유시민 ""분하고 억울해"""
20170317,유시민,19대대선,한라일보,온라인뉴스팀 기자 hl@ihalla.com,어젯밤 썰전 유시민 무슨말 했을까?...
20170317,유시민,19대대선,서울경제,김상민 기자,"‘썰전’ 유시민, 헌법재판소 결정문 분석 장면 분당 최고 시청률 ‘10.9%’"
20170317,유시민,19대대선,매일신문,뉴미디어부02 minstar@msnet.co.kr,"'썰전' 유시민, 박근혜 前대통령의 눈물은? ""분하고 억울한 것"""
20170317,유시민,19대대선,아시아경제,피혜림,"'썰전' 유시민 ""홍준표, 불안해서 뽑겠나 나와주면 땡큐"""
20170317,유시민,19대대선,헤럴드경제,민성기 기자,"유시민 “박근혜 분하고 억울해서 운 것, 잘못 없다고 생각”"
20170317,유시민,19대대선,서울신문,장은석,"썰전 유시민, 박근혜 전 대통령에 돌직구 “측근 말 좀 듣지마”"
20170317,유시민,19대대선,매일경제,진주희,"`썰전` 유시민, 박근혜 전 대통령 눈물 의미 `분함 억울함`"
20170317,유시민,19대대선,머니투데이,이재은,"'썰전' 유시민 ""박근혜 정치 계속할 것"""
20170317,유시민,19대대선,부산일보,멀티미디어부,"'썰전' 전원책, 헌재 결정문 유시민과 다른 의견 ""제왕적 대통령제 아냐"""
