일자,언론사,기고자,제목
20200221,세계일보,김현주,"홍준표 ""황 대표와 만남도 취소당하고, 이미 끝난 강북 출마 또다시 강요당하고, 황당한 하루였다"""
20200217,울산매일,박현준,"자유한국당 양산 ‘을’ 지역 공천신청자, 홍준표 셀프공천 반대"
20200214,세계일보,김명일,"황교안 한국당 대표 “홍준표 출마 지역, 혼자 결정하실 일 아냐”"
20200212,경상일보,김두수 기자,"김형오, 홍준표 전 대표 양산을 출마 의사에 “절반의 수확”"
20200212,OBS,정철호,홍준표 양산을 타진 전직 지사 '낙동강 혈투'
20200212,한겨레,정유경,"홍준표 대 김두관, 전 경남지사 간 4월 ‘양산대전’ 성사되나"
20200212,머니투데이,김민우 |기자,"한국당, 홍준표 양산을 공천 가닥? 前'경남지사' 매치 성사되나"
20200211,서울신문,정현용,홍준표 “서울 출마? 황교안 대표 ‘백댄서’ 하라는 건가”
20200206,한국일보,전혼잎,"홍준표 “황교안은 꽃신 신겨주고, 전직 대표는 짚신 주나”"
20200206,아시아경제,김성열,"홍준표 ""現 대표는 양지, 前 대표는 사지 보내는게 정당한 공천인가"""
20200206,아시아경제,임춘한,홍준표 “‘종로 기피’ 황교안은 양지로 前대표는 사지로 보내냐”
20200206,중앙일보,이민정(lee.minjung2@joongang.co.kr),"홍준표 “現대표는 꽃신, 前대표는 짚신? 난 내 고향 출마할 것”"
20200206,헤럴드경제,정윤희 기자,"홍준표 “종로 기피 黃은 양지로, 前대표는 사지 보내나”"
20200206,서울경제,방진혁 기자,"홍준표 ""현직대표는 꽃신, 전직은 짚신? 고향출마할 것"""
20200206,조선일보,손덕호 기자,"황교안 종로행 결정 못하자 홍준표 ""現대표는 양지, 前대표는 사지 보내나"""
20200122,경남도민일보,민병욱 기자,"""홍준표 전 한국당 대표 수도권 험지 총선 출마를"""
20200116,아시아경제,박철응,"홍준표 PK 출사표에 ""김두관 카드 살아있다"" 전 도지사 대결 구도?"
20200115,디지털타임스,김미경,"홍준표 전 대표, 자신의 고향인 경남 밀양 창녕 출마 공식화"
20200109,경인일보,정의종,"홍준표 전 한국당 대표, 정병국 의원 상대 소송 취하 범보수통합 위해 화해 하나"
20191231,한국일보,박민정,홍준표 “의원직 총사퇴 의미 없다 모두 한강으로 가라”
20191231,서울신문,강주리,홍준표 “국회의원 총사퇴 쇼하지 말고 모두 총선 불출마해”
20191231,한겨레,정유경,홍준표 “의원직 총사퇴? 잘못된 결정 했으면 지도부가 총사퇴해야”
20191230,세계일보,양봉식,자유한국당 의원직 총사퇴 결의 홍준표 “의미 없어”
20191230,매일경제,,"홍준표 ""의원직 총사퇴 의미없어 모두 한강으로 가라"""
20191230,세계일보,이창훈,홍준표 “의원직 총사퇴 의미 없어 (한국당) 한강 가야”
20191224,대구일보,이창재,"홍준표 “황 대표, 험지 출마 모범 보여라”"
20191218,중앙일보,이우림(yi.woolim@joongang.co.kr),"한국당 “당대표급, 전략거점 출마를” 홍준표 “24년간 험지서 검투사 노릇” 반발"
20191218,국제신문,김해정 기자 call@kookje.co.kr,한국당 “당대표급 전략지 출마” 권고 ‘마이웨이 선언’ 김태호 홍준표 겨냥
20191217,한겨레,김미나,한국당 “대표급은 전략지 출마를” 홍준표 김태호 겨냥
20191209,부산일보,백남경,'진주의료원 폐업' 홍준표 전 지사 등 고발사건 경찰 수사
20191209,머니투데이,박종진 |기자,"홍준표 ""심재철 축하, 5선 관록으로 당 대표 잘 끌어달라"""
20191208,한국일보,이유지,홍준표 “의원 정수 200명ㆍ선진화법 폐지 등 국회법 개정해야”
20191206,헤럴드경제,이운자 기자,홍준표 “황 대표 ‘2000년 이회창 공천’모델 언급 참 어이없는 착각”
20191205,서울경제,조예리 기자,"홍준표 ""원내대표가 공천 보장용이냐, 좁은 땅이나 차지하려 정신팔려"""
20191205,머니투데이,김지성|기자,"홍준표 ""본질은 황 대표 전횡"" '황교안 월권' 후폭풍 계속"
20191204,서울경제,조예리 기자,"홍준표 ""원내대표 친박되면 '탄핵 잔당' 된다, 통합 커녕 분당 가능성도"""
20191204,헤럴드경제,이운자 기자,홍준표의 경고 “원내대표까지 친박이 되면 分黨 올수도”
20191130,국민일보,정진영 기자,홍준표 “한국당 책임 정치해라 원내대표도 이제 그만 교체해야”
20191129,경남도민일보,박종완 기자,"진주의료원 진상조사위, 홍준표 전 지사 고발장 접수"
20191128,한겨레,최상원,‘진주의료원 폐업 지시’ 홍준표 전 경남지사 고발
20191128,세계일보,강민한,진주의료원 폐업 관련 홍준표 전 지사 등 검찰 고발
20191127,경남도민일보,김구연 기자,"진주의료원 강제폐업조사위, 홍준표 전 지사 검찰에 고발"
20191126,매일신문,권성훈,"'토크 20분' 강효상 의원, ""황교안+홍준표 반반 섞었으면 """
20191126,YTN,오태인,"""진주의료원 폐업은 홍준표 전 경남지사의 직권남용"""
20191126,헤럴드경제,이명수 기자,홍준표 “33년만에 단식장에서 만난 황교안 대표 참으로 처절”
20191126,아주경제,신승훈,?홍준표 “한국당 의원들...黃대표에 짐 떠넘기지 말라”
20191121,한국일보,이정은,홍준표 “당대표 목숨 걸고 단식하는데 원내대표는 워싱턴”
20191121,서울경제,김경훈 기자,"홍준표, '워싱턴 방문길' 나경원 겨냥해 ""당 대표는 목숨 걸었는데 이해가 안 돼"""
20191121,헤럴드경제,이운자 기자,"홍준표 “당대표 단식?첫날, 미국 가는?원내대표 저의가 뭔지”"
20191121,서울경제,정수현 기자,"황교안 대표 이틀째 단식투쟁 중 홍준표, 페이스북에 ""나경원은 미국갔는데..."""
20191120,국민일보,지호일 기자,홍준표 “당대표가 헛발질로 조롱 받으면 당이 수렁 빠져”
20191113,국민일보,지호일 기자,홍준표 “黃대표는 당을 위해 뭘 했나? 강북 험지 출마하라”
20191112,매일신문,정운철,"[포토뉴스] 홍준표 전 자유한국당 대표, 내년 총선 앞두고 대구 서문시장 방문"
20191112,매일신문,이남영,[현장사진] 12일 대구 서문시장 찾은 홍준표 전 자유한국당 대표
20191112,국민일보,지호일 기자,"'매파' 홍준표 “즉시 의원 총사퇴하고, 정기국회를 거부하라”"
20191112,서울경제,최상진 기자,"홍준표 ""패스스트랙 막으려 국회의원 총사퇴? 어이없는 웰빙 투쟁"""
20191111,한국경제,조준혁(presscho@hankyung.com);이미나(helper@hankyung.com),"홍준표 ""군소정당 대표랑 논쟁이라니"" '고성 논란' 황교안 거듭 비판"
20191111,조선일보,김민우 기자,"홍준표 ""황교안, 범여 군소정당 대표와 논쟁말고 文대통령과 담판했어야"""
20191107,대전일보,정성직,"김태흠 한국당 충남도당위원장, 홍준표 전 대표 공개적으로 비판"
20191107,한국경제,이미나(helper@hankyung.com),"홍준표 ""황교안, 내용도 없는 보수 대통합 발표  당대표 누가 자문하는건지"""
20191106,경남도민일보,고동우 기자,홍준표 김태호 전 경남지사 고향 출마로 정치 재기할까
20191103,중부일보,노진균,"홍준표 전 자유한국당대표  안병용 의정부시장, SNS 통해 설전 벌여"
20191103,한국경제,,"홍준표 ""친박이 친황으로 갈아타 정치초년생에 딸랑거리며 의원 더하고 싶나"""
20191103,중앙일보,정은혜(jeong.eunhye1@joongang.co.kr),"홍준표 ""한국당 레밍  정치초년생에 딸랑거려 의원 하고싶나"""
20191103,부산일보,조경건,"홍준표, 한국당 '레밍' 비유 독설 ""딸랑거리면서 국회의원 더 하고 싶나"""
20191101,서울신문,이근홍,"홍준표 “원내대표 자리 연연, 지도부는 오락가락 고인물 썩어”"
20191031,세계일보,박태훈,"하태경 ""심상정보단 홍준표가 심플...의원 줄이면 그만"""
20191029,한국일보,손효숙,홍준표 “의원 수 늘리기는 후안무치 의원 200명이 적절”
20191029,디지털타임스,디지털뉴스부,"홍준표 ""국회의원 200명만, 비례대표는 폐지"" 심상정 저격성 글 올려"
20191029,헤럴드경제,이명수 기자,홍준표 “국회의원 200명으로 줄이고 비례대표제 폐지해야”
20191029,서울신문,강주리,"홍준표 “인구 오천만 한국, 미국 기준이면 국회의원 81명”"
20191029,헤럴드경제,이원율 기자,"홍준표 ""선거 개정, 의원총사퇴 총선거부로 투쟁하라 못 막으면 한강行"""
20191028,서울경제,김경훈 기자,"홍준표, '의원수 10% 확대' 심상정 향해 ""'부정의' 정당 의원 주장에 분노"""
20191028,한국경제,이미나(helper@hankyung.com),"홍준표 ""대한민국 국회의원 200명이면 충분"""
20191028,세계일보,김경호,"홍준표 ""국회의원 정수 확대 후안무치의 국치 200명이면 충분"""
20191028,아주경제,신승훈,?홍준표 “국회의원 200명이면 충분...전원 지역구로”
20191028,중앙일보,박광수(park.kwangsoo@joongang.co.kr),홍준표 “의원 정수 확대는 후안무치의 극치 200석이면 충분”
20191028,머니투데이,정단비|인턴,"홍준표 ""해보니 국회의원 200명이면 돼 비례대표 없애야"""
20191028,헤럴드경제,이원율 기자,"홍준표 ""국회의원 200명이면 충분 정수 확대는 후안무치"""
20191023,YTN,김주영,"홍준표 ""유시민, 좌파 대표""...유시민 ""선거판서 볼 일 없어"""
20191022,매일경제,박세연,"20주년 `100분토론`, 대표 정치논객 홍준표 VS 유시민 `맞불`"
20191015,경남도민일보,자치행정 1·2부 종합,홍준표 김태호 전 지사 출마 여부 변수 급부상
20190923,경인일보,정의종,"한국당 통합과 전진 의원 모임, 홍준표 전 대표 징계위 소집 요구 논란 예상"
20190923,국민일보,천금주 기자,홍준표 전 대표가 ‘한국당 위한 고언(苦言) 그만둔다’고 한 이유
20190919,매일신문,최두성,"[부음] 홍순규(유성인쇄 대표) 순덕(대구대 영덕연수원장) 순목 순희 석형 씨 부친상, 홍준표(매일신문 서울정경부 기자) 하은(대구신문 정경부 기자) 씨 조부상"
20190917,헤럴드경제,정지은 기자,"홍준표, 黃 ‘삭발 투쟁’ 지지 “야당 대표 결기 계속 보여주길”"
20190917,중앙일보,배재성(hongdoya@joongang.co.kr),"홍준표 “무당층 40%, 민주당엔 ‘민주’ 자유한국당 ‘자유’없기 때문”"
20190916,헤럴드경제,이운자 기자,홍준표 “추석민심 무당층이 40% 민주당엔 ‘민주’없고 자유한국당엔 ‘자유’없다”
20190915,디지털타임스,김미경,<여의도 왁자지껄> 입지 좁아지는 나경원 원내대표 홍준표 전 대표 공개적으로 사퇴 촉구
20190913,아주경제,신승훈,"홍준표, 나경원 겨냥...“당 대표 직무대행 해보려고 자리 연연하나”"
20190911,매일경제,이상규,"홍준표 전 대표, 이언주 삭발식보고 ""얼마나 아름다운 삭발인가"""
20190910,머니투데이,오진영|인턴,"홍준표, 이언주 의원에 ""이 얼마나 아름다운 삭발인가"""
20190906,대구일보,이창재,"“문 정권보다 야당에 더 화난다”... 홍준표 전 대표, 페이스북서 지적"
20190903,서울신문,신성은,[포토] 조국 후보자 비판하는 홍준표 전 대표
20190826,세계일보,박태훈,"홍준표 ""文, 딸이 있는 태국 간다는데 가방 검사할 용감한 野의원 누구?"""
20190822,아주경제,전환욱,"?홍준표, 나경원 두고 ""당 대표 영역까지 넘보는 건 주제넘은 행동"""
20190821,헤럴드경제,신상윤 기자,"홍준표, 나경원 저격 “與, 조국 지명할 정도로 野원내대표 깔봐” "
20190821,서울경제,이태규 기자,"홍준표, 나경원에 “김성태처럼 대통령도 겁내는 원내대표돼야”"
20190821,서울신문,신진호,"홍준표 “나경원, 당 대표 역할 넘보는 건 주제넘어”"
20190820,매일신문,유광준,"홍준표 전 한국당 대표 ""조국 임명되면 검사들 총사직하라"""
20190819,매일경제,이세현,"홍준표 ""한국당, 주광덕 의원처럼 팩트로 공격하라"""
20190819,경남신문,이상권,"홍준표 전 대표, 내년 총선 고향서 출마하나"
20190813,매일신문,유광준,"홍준표 전 한국당 대표 14일 고향행, 내년 총선 행보라는 분석"
20190812,헤럴드경제,이운자 기자,홍준표 “당 대표 복귀? 전혀 생각 없다 혁신 없는 당 한순간 소멸”일갈
20190812,세계일보,,"홍준표 ""당 대표 생각 없다 혁신 없는 당은 소멸"""
20190812,헤럴드경제,유오상 기자,홍준표의 손사래 “당대표에 다시 나설 생각 없다”
20190812,아시아경제,임춘한,홍준표 “당대표 복귀 음모? 지금은 생각 전혀 없다”
20190806,영남일보,진식기자 jins@yeongnam.com,홍준표 “내년 의미있는 곳 출마” 김부겸 의원과 ‘빅매치’ 노리나
20190805,매일신문,매일신문,"[관풍루] 홍준표 전 자유한국당 대표, 한일 경제전쟁을 불러온 문재인 대통령을 두고 ""말은 이순신인데 행동은 선조 "
20190724,헤럴드경제,민성기 기자,"홍준표 “1인 보스정치시대 끝났다, 당 대표체제 종식돼야”"
20190724,중앙일보,배재성(hongdoya@joongang.co.kr),홍준표 “1인 보스정치시대 끝나 당 대표체제 종식돼야”
20190723,아시아경제,강나훔,"홍준표 ""1인 보스 정치시대 끝나 당대표 체제 종식돼야"""
20190715,매일신문,유광준,"?홍준표 전 한국당 대표 ""내년 총선 출마한다. 대구도 검토대상"""
20190710,아시아경제,윤동주,[포토] 강연하는 홍준표 전 대표
20190710,아시아경제,윤동주,[포토] 강연하는 홍준표 전 대표
20190622,머니투데이,이해진|기자,"홍준표 전 대표, '과태료 2000만원'에 3번째 불복 항고"
20190622,매일경제,박동우,"탐사보도 세븐, `홍준표 측근` 조진래 전 의원 죽음 집중조명"
20190619,서울신문,김유민,"홍준표, 윤석열 검찰총장 내정에 “자유한국당은 재앙”"
20190619,머니투데이,조해람|인턴기자,"홍준표 ""황교안, 대통령 놀이 한번이면 됐다 이제 풍찬노숙하는 야당대표"""
20190613,헤럴드경제,한영훈 기자,"“이름 특이한 국회의원 있다” 경찰, 윤지오 ‘홍준표 명예훼손 혐의’ 수사착수"
20190612,매일경제,김유신,"경찰, 윤지오씨 홍준표 전 대표 명예훼손 혐의 수사 개시"
20190612,KBS,KBS,‘미등록 여론조사 공표’ 홍준표 전 대표에 과태료
20190612,경향신문,심윤지 기자 sharpsim@kyunghyang.com,"법원, ‘미등록 여론조사 공표’ 홍준표 전 대표에 “과태료 2000만원 내라”"
20190609,세계일보,김현주,"홍준표 ""자유한국당 지도부 국회의원 중 박근혜 전 대통령 탄핵과 자유로운 사람 있나?"""
20190604,아시아경제,원다라,"진보 보수 대표논객 유시민 홍준표, '홍카레오'서 공감대 찾은 대목은"
20190603,머니투데이,이기범|기자,[사진]토론장 향하는 홍준표 전 대표
20190603,머니투데이,이기범|기자,[사진]질문에 답하는 홍준표 전 대표
20190603,머니투데이,이기범|기자,[사진]질문 듣는 홍준표 전 대표
20190603,머니투데이,이기범|기자,[사진]답변하는 홍준표 전 대표
20190603,머니투데이,이기범|기자,[사진]미소 짓는 홍준표 전 자유한국당 대표
20190602,매일신문,박상전,"TK 출신 진보 보수 대표 말빨 유시민 vs 홍준표, 유튜브 '홍카레오'서 토론 배틀"
20190531,경남도민일보,박종완 기자,"""홍준표 전 지사 사과가 진상규명 첫발"""
20190527,YTN,김성현,"홍준표, 조진래 전 의원 사망에 ""정치보복 때문... 참으로 몹쓸 정권"""
20190527,동아일보,홍정수,조진래 前의원 극단 선택 홍준표 “정치보복 탓”
20190525,한국일보,이현주,‘친홍’ 조진래 전 의원 숨진 채 발견 홍준표 “수사 압박으로 극단 선택”
20190525,YTN,최민기,"홍준표 ""조진래 전 의원, 채용비리 수사 압박에 극단적 선택"""
20190525,아주경제,서민교,"?홍준표, 조진래 전 의원 극단적 선택에 “정치 보복 못되고 몹쓸 정권”"
20190525,아주경제,박성준,"홍준표 ""조진래 전 의원, 채용비리 수사 압박으로 극단적 선택"""
20190525,부산일보,김주희,"조진래 전 의원 사망, 홍준표 ""정치 보복 때문"" 주장"
20190525,YTN,최민기,"홍준표 ""조진래 전 의원, 채용비리 수사 압박에 극단적 선택"""
20190525,서울경제,나윤석 기자,"홍준표 ""조 前 의원, 수사압박에 극단 선택...참으로 몹쓸 정권"""
20190525,디지털타임스,디지털뉴스부,"홍준표 ""조진래 전 의원, 채용비리 수사 압박에 극단적 선택"""
20190525,서울신문,신진호,"홍준표 “조진래 전 의원 죽음, 문재인 정권 보복수사 때문” 주장"
20190525,아시아경제,김지현,"""몹쓸 정권"" 홍준표, 조진래 전 의원 비보에 '정치보복' 주장"
20190525,동아일보,정봉오,"박훈 “‘홍준표 측근’ 조진래 전 의원, 왜 재판 나오나 했는데 황망”"
20190525,헤럴드경제,당직자공용 기자,"홍준표 ""숨진 조진래 전 의원 채용비리 수사 압박 때문"""
20190525,YTN,김성현,"홍준표, 조진래 전 의원 사망에 ""정치보복 때문... 참으로 몹쓸 정권"""
20190525,부산일보,장혜진,"조진래, 누구? 홍준표 전 대표와 고교 선후배, 경남도 정무부지사 역임"
20190525,아주경제,박성준,"홍준표 ""같은 당 동료의원 의정활동 비난 정상적이지 않아"" 강효상 두둔"
20190524,헤럴드경제,이운자 기자,"홍준표, 윤상현 저격 “같은 당 동료의원 비난 정상적이지 않다”"
20190524,세계일보,양봉식,강효상 감싼 홍준표 “같은 논리라면 박지원 의원은 왜”
20190519,머니투데이,"최민경 , 황국상 |기자","""'홍준표 바른당 합류설'은 홍 전 대표에 대한 명예훼손"""
20190509,강원일보,,[포토뉴스]상지대 홍준표 전 대표 초청특강
20190501,중도일보,온라인이슈 팀,"자유한국당 해산 국민청원 100만명 돌파, 홍준표 “안이함과 방관은 ”"
20190430,한국경제,임도원(van7691@hankyung.com),"홍준표 전 대표 ""한국당 의원들, 국회의원직 총사퇴하라"""
20190430,서울신문,정현용,홍준표 “한국당 해산 청원 100만 의원직 총사퇴하라”
20190430,부산일보,장혜진,"자유한국당 해산 청원 100만 홍준표 ""좌파들의 동원력 결집력 놀랍다"""
20190430,아시아경제,임춘한,"홍준표, 한국당 '국회의원 총사퇴' 촉구 “文정권 불복종운동 나서야”"
20190429,경향신문,임지영 기자 iimii@kyunghyang.com,"한국당 독려 나선 홍준표 “박근혜 대표 때 사학법 투쟁, 결국 집권의 길 열었다”"
20190410,매일신문,권성훈,"[토크20분] 홍준표 전 대표, ""박근혜 탄핵 잘못, 출당요구는 관례"""
20190319,매일신문,최두성,"홍준표 전 한국당 대표 ""김경수 보석 석방될 것"""
20190314,매일신문,이화섭,"[토크20분] 조원진 애국당 의원 폭탄발언 ""박근혜 내친 홍준표는 △△, 유승민은 OOO"""
20190312,매일신문,디지털국,"조원진 의원, 야수와 미녀 TV '토크 20분' 출연 ""홍준표는 △△"""
20190306,영남일보,노진실기자 know@yeongnam.com,‘홍준표 닮은’黃대표 행보 TK 보수 정치권 “우려”
20190228,부산일보,장혜진,황교안 자유한국당 대표 선출 직후 홍준표가 한 말
20190228,헤럴드경제,송형근 기자,"홍준표, 황교안 대표에 “한마음으로 뭉치자”"
20190228,동아일보,김소정,"홍준표, 황교안 새 대표에 “앞날 밝아, 한마음으로 文 정권 막자”"
20190227,머니투데이,박종진 |기자,"홍준표, 황교안 대표에 ""앞날 밝을 것 한마음으로 뭉치자"""
20190212,경남도민일보,고동우 기자,"홍준표, 한국당 대표 선거 불출마 선언"
20190212,서울신문,문경근,"홍준표, 당대표 출마 포기 한국당 2 27 전대 ‘반쪽’ 불가피"
20190212,경남도민일보,정현태 전 남해군수,"[발언대] 홍준표 전 대표, 경남지사 조기석방 앞장서야"
20190211,KBS,최창봉,홍준표 전 대표 불출마 선언 한국당 전대 반쪽 되나?
20190211,울산매일,신섬미 기자,"김진태 의원, 홍준표 포기한 당대표 출마해 ""박근혜 전 대통령은 사기탄핵"" 주장"
20190211,매일경제,,"홍준표 전 대표, 2 27 전대 불출마 선언 ""끝까지 함께 못해 유감"""
20190211,경남신문,차상호기자,홍준표 “김 지사 구속 자업자득”
20190207,울산매일,백주희,홍준표 김진태 울산 방문이어져  자유한국당 당권경쟁 달아올라
20190207,한국경제,이미나(helper@hankyung.com),'당대표 출마' 오세훈 vs 황교안 vs 홍준표 본격 3파전 강점과 약점은?
20190207,SBS,SBS 뉴미디어부,당 대표 도전한 이유는 홍준표가 직접 말한다
20190207,한국경제,박종필(jp@hankyung.com);하헌형(hhh@hankyung.com);김소현(alpha@hankyung.com),"홍준표 前 대표 ""경제가 통째로 망했다고 한 것은 '막말' 아닌 '옳은 말'이었다"""
20190207,한국경제,이미나(helper@hankyung.com),오세훈 당대표 출마  황교안 홍준표와 '한국당 전당대회 3파전' 관전 포인트
20190207,동아일보,김혜란,오세훈 당 대표 출마 “홍준표와 단일화 No 洪 정치감각 개탄”
20190204,머니투데이,이재원 |기자,"홍준표 ""문 정권 판 엎을사람 나와야 대표 되면 범국민 저항운동"""
20190204,세계일보,박태훈,"황교안, 홍준표, 오세훈 혈투 당 대표자리가 무엇이길래 [스토리세계]"
20190203,동아일보,김소정,홍준표 “당대표 되면 박근혜 이명박 석방 운동할 것”
20190203,조선일보,"이옥진 기자
이옥진 기자  유병훈 기자",[한국당 당대표 주자 해부 上] 오세훈 홍준표 황교안 3人3色
20190203,서울경제,송종호 기자,"토론의 달인 '홍준표'..당대표 선거, TV토론회 8회 제안"
20190202,한국일보,정지용,"정우택 의원 “황교안 오세훈은 초보운전, 홍준표는 난폭운전"""
20190202,중도일보,오주영 기자,[정치펀치]정우택의 황교안-오세훈-홍준표 당 대표 불가론
20190201,중앙일보,신용호.한영익(novae@joongang.co.kr),홍준표 “자칫하면 탄핵총리가 당대표 여당선 황나땡 반겨”
20190131,국민일보,뉴시스,홍준표 전 대표 현충원 방명록에 남긴 '진충보국'
