일자,언론사,기고자,제목
20141231,매일경제,,박근혜 대통령 신년사 “경제 회복의 불꽃을 살려내고 국민소득 4만불 시대 열겠다”
20141231,매일경제,,박근혜 대통령 신년사 “실질적이고 구체적인 통일기반 구축 통일의 길 열어갈 것”
20141231,매일경제,,"박근혜 대통령 신년사 ""창의와 혁신으로 국민소득 4만불 열것"""
20141231,매일경제,,"박근혜 대통령 신년사 ""경제 회복이 가장 시급한 과제”"
20141231,매일경제,,박근혜 대통령 신년사 “국민소득 4만 불 시대 여는 기반 다질 것”
20141231,매일경제,,"박근혜 대통령 신년사 ""통일의 길 열어갈 것"""
20141231,머니투데이,김익태 |기자,[동영상]박근혜 대통령 을미년 신년사
20141231,머니투데이,김익태 |기자,[전문]박근혜 대통령 을미년 신년사
20141231,매일경제,,<신년사> 박근혜 대통령
20141231,매일경제,,"박 대통령 ""분단 70년 마감하고 통일의 길 열어갈 것"""
20141230,중앙일보,,"""부부싸움 하다가 애국가 들리니 경례하더라""  박 대통령 '국제시장' 예로 들며 애국심 강조"
20141230,중앙일보,장세정,"""박 대통령만 연금개혁 공개 약속  이번엔 제대로 해야"""
20141230,중도일보,,"박 대통령 “한반도 평화통일 적극 노력할 것"""
20141230,서울신문,,공무원 보수 3.8% 인상 “박근혜 대통령 연봉 2억원 넘어”
20141230,서울신문,,공무원 보수 3.8% 인상 “박근혜 대통령 연봉은 얼마?”
20141230,서울신문,,공무원 보수 3.8% 인상 “박근혜 대통령 연봉 2억원 넘었다” 총리는?
20141230,서울신문,,"공무원 보수 3.8% 인상 “박근혜 대통령 연봉, 처음으로 2억원 넘었다”"
20141230,머니투데이,김태은 |기자,"대통령-친박 비공개 만찬 서청원 ""모른다"" 정갑윤 ""안갔다"""
20141230,영남일보,이영란,"박 대통령 아프다고 수술않나,해야할 개혁 반드시 해"
20141230,국민일보,최영경 기자,박근혜 대통령 2015년 연봉 처음으로 2억원 넘었다 얼마 
20141230,국민일보,신창호 기자,취임 100일 맞은 문희상 “박 대통령 남은 기간에 국정쇄신 기대”
20141230,경향신문,,박근혜 대통령 2015년 연봉 2억504만원
20141230,경향신문,,박근혜 대통령 ‘친박 5인조’와 비공개 회동
20141230,경향신문,디지털뉴스팀,"문희상 “박 대통령, 전면적 국정쇄신 필요”"
20141230,경향신문,,인명진 “박 대통령 지지율 중 박정희 지지율이 30%  ”
20141230,경향신문,디지털뉴스팀,박 대통령 ‘국제시장 애국심’ 거론에 “뒤집어지고 말았답니다”
20141230,경향신문,,"박 대통령 “몸에 큰 병 들었는데, 지금 아프다고 수술 안 하면 ”"
20141230,충청투데이,김홍민 기자,"박 대통령 ""아프다고 수술안할 거냐 해야할 개혁은 하자"""
20141230,충청투데이,이한성,"박 대통령, ""아프다고 수술않나, 해야 할 개혁 반드시 해"""
20141230,한국일보,최문선,"""지금 아프다고 수술 안 하겠느냐"" 박 대통령 '개혁' 20여 회나 언급"
20141230,한겨레,,"세월호 가족대책위, 합동분향소 신년행사에 박 대통령 초청"
20141230,한겨레,석진환,박 대통령 청와대에서 ‘친박 중진 의원들’과 따로 송년 만찬
20141230,한겨레,,“혼란 원인은 박 대통령이 통치계획 능력 없는 탓”
20141230,매일경제,강두민,"박 대통령, '비박' 빼고 '친박'만 불러 만찬"
20141230,충청일보,이득수,박 대통령 올 공식일정 마무리 신년 구상에 집중
20141230,매일경제,,"공무원 보수 3.8% 인상, 박근혜 대통령 연봉은 얼마?"
20141230,매일경제,,내년 공무원 급여 3.8% 인상 박 대통령 받는 월급이
20141230,경인일보,,"박근혜 대통령 ""내년 노동 금융 연금 구조 개혁"""
20141230,경인일보,송수은,"박근혜 대통령 ""내년 노동 금융 연금 구조 개혁"""
20141229,중앙일보,신용호,박 대통령 새해 구상 기자회견 열어 발표
20141229,중도일보,"오주영
기자",박근혜 대통령 1월 2일 신년인사회
20141229,서울신문,온라인뉴스부,박근혜 대통령 지지율 40%대 회복 새정치 문재인 의원 지지율은?
20141229,서울신문,온라인뉴스부,문재인 지지율 16.3% 잠룡 1위 박근혜 대통령 지지율 40%대 회복
20141229,서울신문,온라인뉴스부,문재인 지지율 16.3% 1위 탈환 박근혜 대통령 안철수 박원순 김무성 지지율은?
20141229,서울신문,온라인뉴스부,문재인 지지율 16.3% 1위 박근혜 대통령 안철수 지지율 조사해보니
20141229,서울신문,온라인뉴스부,문재인 지지율 5개월만에 1위 박근혜 대통령 안철수 박원순 김무성 지지율은?
20141229,서울신문,온라인뉴스부,문재인 지지율 16.3% 잠룡 1위 박근혜 대통령 지지율 43% “지지율 상승 왜?”
20141229,서울신문,"김경두
안원경","[단독] [박근혜정부 경제팀 평가] “뭘하는지 모르겠다, 대통령만 쳐다볼 뿐” ‘액션 없는’ 경제팀"
20141229,서울신문,온라인뉴스부,문재인 지지율 16.3% 대선주자 1위 박근혜 대통령 지지율 40%선 회복 “무엇 때문?”
20141229,서울신문,온라인뉴스부,박근혜 대통령 지지율 40%대 회복 문재인 잠재주자 지지율 1위 “안철수 박원순 김무성 지지율은?”
20141229,MBC,김세로 기자,"박 대통령 ""경제혁신 3개년 계획에 모든 역량 집중"""
20141229,머니투데이,김익태 |기자,"박 대통령, '핵심 국정과제' 점검으로 올해 마무리"
20141229,강원도민일보,남궁창성,박근혜 대통령 내달 2일 신년인사회
20141229,국민일보,신창호 기자,"박근혜 대통령, 노후생활보장 국민의료비부담 경감 공공기관개혁 등 38개 핵심국정과제 점검회의 주재"
20141229,국민일보,신창호 기자,"박 대통령, ‘쌩큐 언니’ 인연 인도 외교장관 접견"
20141229,국민일보,신창호 기자,"박 대통령, ‘쌩큐 언니’ 발언한 인도 여성장관에게 "
20141229,국민일보,신창호 기자,박 대통령 “아프다고 수술 안하나 개혁 반드시 할 것”
20141229,경향신문,,[경향포토]박근혜 대통령 정홍원 국무총리 김기춘 비서실장
20141229,경향신문,정지윤,[경향포토]발언하는 박근혜 대통령
20141229,경향신문,정지윤,[경향포토]올해 마지막 회의 주재하는 박근혜 대통령
20141229,경향신문,,박근혜 대통령 “정부는 헌신의 노력을 다해 왔다”
20141229,경향신문,,"[경향포토]박 대통령,국민의례"
20141229,경향신문,정지윤,[경향포토]박 대통령의 국정과제 점검
20141229,경향신문,,[경향포토]회의 참석하는 박 대통령
20141229,경향신문,,[경향포토]회의 참석하는 박 대통령
20141229,경향신문,정지윤,[경향포토]모두발언하는 박 대통령
20141229,경향신문,정지윤,[경향포토]경제부총리 바라보는 박 대통령
20141229,경향신문,정지윤,[경향포토]모두발언 마친 박 대통령
20141229,경향신문,정지윤,[경향포토]원고 챙기는 박 대통령
20141229,경향신문,정지윤,[경향포토]밝은 표정의 박 대통령
20141229,경향신문,정지윤,[경향포토]발언하는 박 대통령
20141229,경향신문,,[경향포토]인도 외교장관 접견하는 박 대통령
20141229,경향신문,,[경향포토]핵심 국정과제 점검회의 참석하는 박 대통령
20141229,경향신문,,[경향포토]올해 공식 일정 마무리하는 박 대통령
20141229,경향신문,정지윤,[경향포토]국정과제 점검하는 박 대통령
20141229,경향신문,정지윤,[경향포토]박 대통령 '핵심 국정과제 회의'서 성과 점검
20141229,경향신문,,[경향포토]국민의례하는 박 대통령과 장관들
20141229,경향신문,,[경향포토]박 대통령 발언 경청하는 청와대 수석 비서관들
20141229,경향신문,,[경향포토]박 대통령의 올해 마지막 공식 일정
20141229,경향신문,,[경향포토]박 대통령 맞이하는 각 부처 장관들
20141229,경향신문,,[경향포토]국기에 대한 경례하는 박 대통령
20141229,경향신문,정지윤,[경향포토]2014 핵심 국정과제 점검회의 주재하는 박 대통령
20141229,경향신문,정지윤,[경향포토]핵심과제 점검하는 박 대통령
20141229,경향신문,디지털뉴스팀,"심상정 “박 대통령, 기업인 가석방 ‘불가하다’ 입장 밝혀라”"
20141229,경향신문,,"박 대통령, ‘국제시장’ 언급  “즐거우나 괴로우나 나라 사랑”"
20141229,경향신문,,"박 대통령 “몸에 큰 병 들었는데, 지금 아프다고 수술 안 하면 ”"
20141229,한국경제,,[한경데스크] 박근혜 대통령의 세모(歲暮)
20141229,한국경제,,"박근혜 대통령, 이날 38개 핵심국정과제 점검회의 주재"
20141229,한국경제,,"박근혜 대통령, ""어떤 어려움이 있어도 개혁은 반드시 해 나갈 것"""
20141229,국제신문,박정민,"과학면/박 대통령, 과학 인재들과 오찬"
20141229,부산일보,송현수,"박 대통령, 오늘 38개 핵심국정과제 점검회의 주재"
20141229,서울경제,,"박근혜 대통령, 국정과제 점검 ""외환위기 때처럼 타율적 개혁 안돼"""
20141229,KBS,송창언,박 대통령 “어떤 어려움 있어도 반드시 개혁”
20141229,경상일보,서찬수 기자,박근혜 대통령 “어려움 있어도 개혁은 필수”
20141229,디지털타임스,이호승,"박 대통령 ""내년 금융 등 개혁과제 해결"""
20141229,한겨레,김기성,“어깨 감싸며 세월호 진상규명 약속 박 대통령의 그 말을 믿었는데 ”
20141229,매일경제,,"박 대통령 2년차 평가 ""FTA 잘했고, 청년실업 아쉽다"""
20141229,대전일보,,"문건 수사 마무리단계, 박 대통령에게 남는 것"
20141229,매일경제,,한국 온 스와라지 장관 박근혜 대통령과 만나
20141229,매일경제,,"박 대통령, 인도 외교장관 접견 ""인도는 최적의 미래비전 파트너"""
20141229,매일경제,,"박 대통령 ""아프다고 수술않나"" 개혁 의지 표명"
20141229,매일경제,,"박 대통령 ""내년이 경제 재도약 마지막 골든타임"""
20141229,매일경제,,"박 대통령 '국제시장' 언급 ""국민 애국해야 나라 발전"""
20141229,MBC,,박 대통령 스와라지 인도 외교장관 접견
20141229,MBC,,"박 대통령 ""국민만 바라보고 개혁 추진...소통 강화"""
20141229,MBC,,"박 대통령 ""경제혁신 3개년 계획에 모든 역량 집중"""
20141229,MBC,,"박 대통령 ""경제혁신 3개년 계획에 모든 역량 집중"""
20141228,한국경제,,"박근혜 대통령, 신년 기자회견 검토 3년차 구상 발표 유력"
20141228,서울경제,,"박 대통령, 2015년 민생경제 회복 주력하며 국정운영 주도권 확보"
20141228,KBS,KBS,[간추린 단신] 박 대통령 '신년 회견' 유력 검토 외
20141228,중부일보,홍재경,"박 대통령, 새해 국정구상 내달 2일 인사회서 공개"
20141228,디지털타임스,,"박근혜 대통령, 파독 광부 간호사에 `50년만에 부치는 감사편지`"
20141228,한겨레,성한용,"멀어지는 쇄신 기대, 추락하는 지지도 박대통령 카드는?"
20141227,중앙일보,신인섭,[사진] 파독 51년  박 대통령의 감사 편지에 눈물
20141227,강원도민일보,남궁창성,청와대 내달 2일 신년인사회 /박 대통령 국정구상 밝혀
20141227,강원도민일보,남궁창성,첨단기술과 인문소양이 융합되면 더 큰 가치 창출 /박 대통령
20141227,경향신문,정제혁,[기자 칼럼]박근혜 대통령의 ‘내심’
20141227,경향신문,강석봉,[단독]홍대 앞 ‘박근혜 대통령 비난 전단’ 살포 사건 마포서 ‘강력계’에 배당된 이유는
20141227,경향신문,,"[포토뉴스]박 대통령, 과학인재와 만남"
20141227,한겨레,전종휘,민주노총 첫 직선위원장에 한상균 /“박근혜정부 맞선 투쟁본부로 전환”
20141226,중앙일보,신용호,"박 대통령 ""사람에 대한 관심과 배려 품은 따뜻한 인재가 돼야"""
20141226,중도일보,오주영,박 대통령 조용한 성탄절
20141226,중도일보,,박 대통령 조용한 성탄절
20141226,전북일보,위병기,"박근혜 대통령, 새해 국정 쇄신책 내놓나"
20141226,전북일보,위병기,"새해 국정 쇄신책 내놓나 박근혜 대통령, 성탄절 신년 구상 몰두"
20141226,국민일보,김영석 기자,"이공계 출신 박근혜 대통령, 미래과학인재들을 만난다"
20141226,국민일보,김영석 기자,"박 대통령, 29일 총리 등 전 각료 불러모아 38개 국정과제 점검"
20141226,국민일보,김영석 기자,파독 근로자들에게 보내는 박 대통령의 감사편지...아버지에 이어 46년만
20141226,국민일보,김영석 기자,"박 대통령 ""실수해보지 않은 사람은 도전해보지 않은 사람"""
20141226,경향신문,,[기자 칼럼]박근혜 대통령의 ‘내심’
20141226,경향신문,,[기자 칼럼]박근혜 대통령의 ‘내심’
20141226,경향신문,디지털뉴스팀,[속보]서울 홍대 앞서 박근혜 대통령 비난 전단 수백장 살포
20141226,한국경제,,"박근혜 대통령, 내달 2일 청와대에서 2015년도 신년인사회  참석 인사 누구"
20141226,한국경제,,"박근혜 대통령, 29일 청와대에서 2014년 핵심 국정과제 점검회의 주재"
20141226,한국경제,도병욱,"박 대통령 ""사람에 관심 배려 따뜻한 인재 돼라"""
20141226,서울경제,,박 대통령 “과학자는 시대적 양심과 통찰력 가져야”
20141226,KBS,이재원,"박 대통령 “이공계생, 실패 두려워 말고 도전해야”"
20141226,강원일보,,“조국을 위한 헌신 영원히 기억” 박 대통령 파독 근로자에 편지
20141226,강원일보,,“조국을 위한 헌신 영원히 기억” 박 대통령 파독 근로자에 편지
20141226,내일신문,엄경용,"박 대통령, 파독 근로자에 편지"
20141226,한국일보,,[임철순 칼럼] 박근혜 대통령은 왜?
20141226,디지털타임스,정용철,"박근혜 대통령, 파독 51주년 맞아 감사 편지 전달"
20141226,한겨레,곽정수,[단독] “경제위기 극복 리더십 필요한데 박 대통령 2년간 보여준 게 없어”
20141226,경인일보,,파독근로자에 박근혜 대통령 감사편지
20141226,경인일보,정의종,파독근로자에 박근혜 대통령 감사편지
20141225,아시아경제,박희준,"""김양건, 박근혜 대통령의 대북 관계개선 진정성 이해한다"""
20141225,중도일보,,박 대통령 신년메시지 전한다
20141225,중도일보,오주영,박 대통령 신년메시지 전한다
20141225,머니투데이,이슈팀 김종훈|기자,"박 대통령 ""성탄절 맞아 마음의 사랑과 평화가 넘치길"""
20141225,영남일보,,박 대통령 신년 회견 담화 검토
20141225,국민일보,전웅빈 기자,박근혜 대통령 파독근로자에게 감사편지
20141225,국민일보,김영석 기자,"박 대통령,한수원 해킹 관련 실시간 보고 청취"
20141225,경향신문,,박근혜 대통령 아버지 이어 파독 근로자에 감사편지 전한다
20141225,국제신문,,"일정 비운 박 대통령, 국정쇄신책 내놓나"
20141225,국제신문,손균근,5면/박 대통령 일정 비우고 신년 정국구상 몰두(6매)
20141225,충청투데이,김홍민,"박 대통령, 성탄메시지 ""사랑 평화 넘치길"" 페이스"
20141225,충청투데이,김홍민,이틀간 일정비운 박 대통령 신년 정국구상 몰두
20141225,강원일보,,“마음의 사랑과 평화가 넘치길” 박 대통령 페북에 성탄 메시지
20141225,한겨레,손원제,삐라도 언급 않고 “박 대통령 진정성 이해” 북 ‘달라진 발언’에 남 ‘촉각’
20141225,전북도민일보,강성주 기자,박 대통령 이틀째 국정구상 몰입
20141225,경인일보,,"이틀째 일정비운 박근혜 대통령, 신년구상 몰두 쇄신책 내놓나"
20141225,경인일보,정의종,"이틀째 일정비운 박근혜 대통령, 신년구상 몰두 쇄신책 내놓나"
20141224,중앙일보,,박 대통령 명예훼손 시민단체 대표 기소
20141224,전북도민일보,강성주 기자,"박 대통령, “성탄절 맞아 마음의 사랑과 평화 넘치길 ”"
20141224,영남일보,이영란,st 박 대통령 원전자료 유출로 철저대응 지시
20141224,경상일보,김두수 기자,박근혜 대통령 성탄절 전후 신년 정국구상 몰두
20141224,국민일보,김영석 기자,박근혜 대통령 신년기자회견 검토....개각은 글쎄
20141224,국민일보,신창호 기자,박 대통령 페북에 성탄메시지 “사랑 평화 넘치길”
20141224,국민일보,김영석 기자,이틀이나 일정 텅 비운 박 대통령...국정동력 회복의 묘수는?
20141224,국민일보,남혁상 하윤해 기자,박 대통령 정국 구상은 ‘인적쇄신’ 카드보다 국정 추진 연속성에 무게
20141224,경향신문,,"박근혜 대통령, 페이스북에 크리스마스 메시지 남겨"
20141224,경향신문,,박 대통령 성탄 메시지 페이스북에 띄워
20141224,경향신문,,"심재철 “박 대통령이 위원장인 저출산위원회, 회의 한 번도 안 열어”"
20141224,경향신문,이용욱,“진보당 해산은 헌법수호” 재강조한 박 대통령
20141224,한국경제,한경닷컴,"박근혜 대통령 ""성탄절에 사랑과 평과 넘치길"""
20141224,국제신문,,"박 대통령, 이주영 해수장관 사의수용"
20141224,국제신문,,"박 대통령 ""장관들, 진인사대천명 자세로"" 이주영發 개각 가시권"
20141224,서울경제,,"박근혜 대통령, 신년 국정쇄신책 내놓나"
20141224,서울경제,,[김나영 기자의 一日一識] 박근혜 대통령이 선사할 ‘크리스마스 선물’을 기대하며
20141224,KBS,KBS,"“박 대통령, 신년 기자 회견이나 담화 준비 중”"
20141224,충청투데이,김홍민,"박근혜 대통령 ""정부세종청사는 국토균형발전 상징"""
20141224,충청투데이,이승동,【 재송 ‘박근혜 대통령 말 한마디 못내 아쉽다’ 】
20141224,충청투데이,이승동,【 ‘박근혜 대통령 말 한마디 못내 아쉽다’ 】
20141224,충청투데이,김홍민,"박 대통령, 이주영 해수부장관 사의수용 개각 가능성 급부상"
20141224,경상일보,김두수 기자,“사랑 평화 넘쳐나길” 박근혜 대통령 성탄메시지
20141224,중부일보,홍재경,"박 대통령, 이주영 장관 사퇴 수용...신년 개각설 급부상"
20141224,대전일보,,세종청사 완공식서 지원 관심 약속한 박 대통령
20141224,매일경제,,박 대통령 성탄 인사 역대 대통령의 크리스마스는?
20141224,세계일보,뉴스팀,"[사설] 박 대통령, 인사 조기 단행해 ‘국정 동력’ 되살려야"
20141224,경인일보,정의종,"이주영發 개각 초읽기 박근혜 대통령, 인적쇄신 시동거나"
20141223,아시아경제,온라인이슈팀,"박근혜, 이정희 전 통진당 대표에게도 연하장 '직접 수놓은 자수 디자인'"
20141223,중앙일보,신용호.박종근,"박 대통령 ""금융개혁 핵심은 보신주의 타파"""
20141223,중앙일보,,"박 대통령, 직접 수놓은 연하장 보내"
20141223,중도일보,,박 대통령 “내년 경제체질 개선 골든타임”
20141223,중도일보,,"박 대통령, 내년 경제체질 개선 골든 타임 강조"
20141223,서울신문,,박근혜 대통령 연하장 “직접 수놓은 자수 넣어” 이정희 전 진보당 대표에 왜?
20141223,매일경제,,"이주영 장관 사퇴 박근혜 대통령 ""공직자의 참된 모습을 보여줬다"""
20141223,MBC,편집부,"박 대통령 ""통진당 해산, 헌법수호 의지 담은 역사적 결정"""
20141223,영남일보,이영란,"st 박 대통령 ""지방교부세 지금도 유효한지 점검해야"
20141223,경상일보,경상일보,"박근혜 대통령, 정부세종청사 국무회의 주재"
20141223,국민일보,김영석 기자,"박근혜 대통령 ""진인사대천명""주문...개각 가시화"
20141223,국민일보,김영석 기자,"박 대통령 ""세종청사는 대한민국의 랜드마크"""
20141223,국민일보,김영석 기자,박근혜 대통령이 세종청사에 식수한 나무는...회화나무
20141223,국민일보,김영석 기자,"박 대통령,세종시 국무회의 첫 주재"
20141223,국민일보,남혁상 기자,"박 대통령, 이주영 사의수용- 원포인트 개각 유력"
20141223,국민일보,김영석 기자,"박 대통령 ""원전자료 유출, 안보에 심각한 상황 발생"""
20141223,국민일보,남혁상 기자,"박 대통령, 이주영 장관 사의수용...연초 부분개각할 듯"
20141223,국민일보,김영석 기자,"박 대통령 ""공직자의 참된 모습 보여줬다""...이주영 장관 사의 수용"
20141223,국민일보,이경원 기자,박 대통령 관련 허위글 유포한 카이스트 출신 40대 기소
20141223,경향신문,,[경향포토]박대통령 세종시 첫 국무회의
20141223,경향신문,이용욱,박 대통령 “노동시장 개혁 더 못미뤄”
20141223,경향신문,,"박 대통령, 이정희에 연하장 “행복 가득하세요”"
20141223,경향신문,이용욱,“진보당 해산은 헌법수호” 재강조한 박 대통령
20141223,한국경제,,"박근혜 대통령, 세종시에서 첫 국무회의 열어"
20141223,한국경제,,"<속보> 박근혜 대통령 ""통진당해산 헌법수호의지 담은 역사적결정"""
20141223,한국경제,,"박근혜 대통령 ""원전자료 유출, 있어서는 안 될 심각한 상황"""
20141223,한국경제,,"박근혜 대통령, 이주영 장관 사의 수용  개각으로 이어지나"
20141223,한국경제,,"박근혜 대통령, 내각 청와대 개편할까  바뀔 장관 누구"
20141223,서울경제,,[을미년 한국골프 움직일 파워 인물 10인] 골프 안치는데도 프레지던츠컵 명예대회장 박근혜 대통령 7위
20141223,KBS,KBS,박 대통령 “원전 자료 유출 심각 배후 밝혀야”
20141223,한라일보,뉴미디어부  기자  hl@ihalla.com,"'정당 해산' 이정희에게도 보낸 박근혜 대통령 연하장 ""꿈 이뤄지길 바라며"""
20141223,충청투데이,김홍민,통진당 해산 효과? 박 대통령 하락세 멈춰
20141223,헤럴드경제,조범자 기자,"김효주, 2015년 한국골프계 빛낼 영향력 1위 인물 선정 박근혜 대통령은 7위"
20141223,파이낸셜뉴스,신아람,"檢, '박 대통령 불륜' 등 허위사실 유포혐의로 40대 구속기소"
20141223,경상일보,김두수 기자,"박근혜 대통령, 인적쇄신론 수용 관측"
20141223,경상일보,김두수 기자,“노동개혁 미룰 수 없다” 박 대통령 경제정책 밝혀
20141223,한겨레,임석규,이재오 “박 대통령 헌재결정 언급 부적절”
20141223,충청일보,이득수,박 대통령 정부세종청사 완공식 참석
20141223,매일경제,,"박 대통령 ""원전 유출 배후 밝혀야"" 이주영 사퇴"
20141223,매일경제,,"박 대통령, 이주영 장관 사표 수리 ""공직자의 참된 모습"""
20141222,중앙일보,신용호,"박 대통령 ""노동 시장 개혁 더 미룰 수 없는 시급한 과제"""
20141222,중앙일보,이지상,"문희상 ""박대통령, 통진당으로 덮을 수 있을거란 기대하지마"""
20141222,중앙일보,정원엽,"박 대통령 김정은, 러시아에서 돌파구 열까"
20141222,중도일보,,"박 대통령 “통진당 해산 결정, 자유민주주의 확고히 해”"
20141222,서울신문,,[오늘의 눈] 2015년 박근혜 대통령의 ‘길’/안동환 정치부 기자
20141222,전북도민일보,강성주 기자,"박 대통령, “국가 지자체 상생제도 개선 관심 부족하다”"
20141222,충북일보,김동민,어머니의 고향 충청서 낙제점 받은 박 대통령
20141222,매일경제,,"황선, 박근혜 대통령 고소 명예훼손 직권남용 혐의"
20141222,매일경제,김한준,"박 대통령 김정은, 러시아서 만날까"
20141222,매일경제,,"박 대통령 ""노동시장 개혁 더이상 미룰 수 없어"""
20141222,전남일보,,"박 대통령 ""통진당 해산, 역사적 결정"""
20141222,전남일보,,"박 대통령, 노동시장 개혁 시급한 과제"
20141222,영남일보,이영란, 박 대통령 통진당 해산 역사적 결정 평가
20141222,국민일보,남혁상 기자,"박근혜 대통령,노동시장개혁 강조한 이유는?"
20141222,국민일보,김영석 기자,박근혜 대통령 지지도 하락세 멈췄다...헌재 통진당 해산 결정 영향
20141222,국민일보,김영석 기자,고소당한 박근혜 대통령 처벌받나...결론은 '공소권 없음'
20141222,국민일보,김영석 기자,'종북콘서트' 논란 황선 오늘 박근혜 대통령 고소...고소내용은?
20141222,국민일보,김영석 기자,박근혜 대통령이 보낸 연하장은...직접 수놓은 자수 그려져
20141222,국민일보,남혁상 정치부 차장,[뉴스룸에서-남혁상] 박 대통령의 2년 전 약속은
20141222,국민일보,김영석 기자,"황선,박 대통령 고소...혐의는 직권남용과 명예훼손"
20141222,국민일보,김영석 기자,"박 대통령 ""노동시장개혁 더 미룰 수없는 시급한 과제"""
20141222,국민일보,김영석 기자,"박 대통령,오늘 국민경제자문회의.경제관계장관회의 주재"
20141222,국민일보,신창호 기자,박 대통령 연하장에 뭐라고 썼나 “국가혁신 경제도약 노력”
20141222,국민일보,신창호 기자,"박 대통령 “공무원연금 개혁, 우리 사명이자 팔자다”"
20141222,전자신문,권상희,"박 대통령 ""거시정책 확장기조 유지해야"""
20141222,경향신문,,박근혜 대통령 명예훼손 직권남용 혐의로 고소당해
